"Status (noindex,org,orgonly)",name,address,phone,website,fb_id
,Central Christian Church,134 N. Dithridge St.,(412) 621-6760,,
,Korean Central Church,134 N. Dithridge St.,(412) 687-7775,,
,St. Paul's Cathedral School,136 N. Craig St.,(412) 621-7023,,
,Oakland Catholic High School,144 N. Craig Street,(412) 682-6633,http://www.oaklandcatholic.org/,194864157210632
,First Baptist Church,159 North Bellefield,(412) 621-0500,,108697855875679
,Personal Touch Home Care,160 N. Craig St.,(412) 681-1044,,
,Friendship Community Presbyterian Church,181 Robinson St.,(412) 683-0575,,
,Pizza Prima ,190 N. Craig St.,(412) 687-6464,,
,Alex's Flowers,192 N. Craig St.,(412) 687-4128,http://www.alexsflowers.com/,
,Sunoco A-Plus Mini Market,195 N. Craig St.,(412) 687-7554,www.sunoco.com,
,UPMC Health System,200 Lothrop St.,(412) 674-8762,www.upmc.edu,
,UPMC Presbyterian,200 Lothrop St.,(412) 647-2345,www.upmc.edu,
,University Dental Care,200 N. Craig St.,(412) 681-8011,www.upmc.edu,
,Western PA School for the Blind,201 N. Bellefield Ave.,(412) 621-0100,http://www.wpsbc.org/wpsbc/site/default.asp,
,First Church of Christ Scientist,201 N. Dithridge St.,(412) 621-5339,,christiansciencepgh
,Optometric Associates,201 North Craig Street,(412)683-2727,,
,Oliverio Hair & Nails,201 S. Craig St.,(412) 681-4666,,
,Dave & Andy's Ice Cream,207 Atwood St.,(412) 681-9906,,DaveNAndys
,Crepes Parisiennes,207 S. Craig St.,(412) 683-1912,,
,Small Business Development Cntr.,208 Bellefield Hall,(412) 648-1544,,
,Rite Aid,209 Atwood St.,(412) 621-4338,www.riteaid.com,
,Milan Hair and Nail Spa,209 S. Craig St.,(412) 421-8122,,
,Uncle Sam's Subs,210 Oakland Ave.,(412) 621-1885,http://www.unclesamssubs.com/,
,Fuel & Fuddle,212 Oakland Ave.,(412) 682-3473,http://www.fuelandfuddle.com/,52775066304
,Gregory's Hair Design,214 N. Craig St.,(412) 682-1191,,
,Center for Wholistic Therapy,214 S. Craig St.,(412) 420-5225,,
,Little Nipper's Pizza,216 N. Craig St.,(412) 683-3777,,
,Oakland Real Estate Co.,216 Oakland Ave.,(412) 621-2742,,
,Wines & Spirits,217 Atwood St.,(412) 688-1943,www.pawinesandspirits.com,
,Pizza Romano,219 Atwood St.,(412) 621-6200,,
,Pittsburgh Playhouse,222 Craft Ave.,(412) 621-4445,http://www.pittsburghplayhouse.com/,pittsburgh.playhouse
,Pittsburgh Cafe,226 Meyran Ave.,(412) 687-3330,http://www.pittsburghcafe.com/,157973787550089
,Tong's Cuisine,228 Semple Street,(412) 918-1484,www.tongscuisine.com/,
,Oakland General Store,229 Atwood St.,(412) 683-0313,,220336147980324
,Eye & Ear Institute,230 Lothrop St.,(412) 647-2345,www.upmc.edu,
,Sorrento's Pizza,233 Atwood St.,(412) 621-9129,,
,Family House,233 McKee Place,(412) 647-7777,http://www.familyhouse.org/,FamilyHousePittsburgh
,United Jewish Federation,234 McKee Place,(412) 681-8000,http://www.jewishfederationpittsburgh.org/,jfedpgh
,New Oakland Tailor,234 Meyran Ave.,(412) 682-8028,,
,Oakland BID,235 Atwood Street,(412) 683-6243,www.onlyinoakland.org,351740933073
,Oakland Community Council,235 Atwood Street,(412) 687-8568,,
,Oakland Planning & Dev. Corp.,235 Atwood Street,(412) 621-7863,www.opdc.org,OPDC.org
,Puccini's,237 Atwood St.,(412) 621-2087,,salvatorepuccini
,The Black Bean,239 Atwood St.,(412) 621-2326,http://www.blackbeancc.com/,
,Pittsburgh Parks Conservancy,242 McKee Place,(412) 682-7275,http://www.pittsburghparks.org/,pittsburghparks
,Oakland Village Realty,246 Atwood St.,(412) 683-1200,,
,Antoon's Pizza,247 Atwood St.,(412) 687-5446,,197002851351
,McKnight Capital Partners,249 N. Craig St.(2nd Fl),(412) 681-8200,,
,Church of Jesus Christ of Latter Day Saints,250 N. Dithridge St.,(412) 802-6086,,
,Spice Island Tea House,253 Atwood St.,(412) 687-8821,http://www.spiceislandteahouse.com/Homepage.html,spiceislandteahouse
,Johnny's Place,256 N. Craig St.,(412) 681-4681,,
,Bombay Emporium,294 Craft Ave.,(412) 682-4965,,
,Thirsty's Restaurant,301 N. Craig Street,(412) 687-0114,,
,Joe Bellisario Barber,302 Atwood St.,(412)681-9725,,
,Irish Design Center,303 S. Craig St.,(412) 682-6125,http://www.irishdesigncenter.com/mysitecaddy/site3/,IrishDesignCenter
,The Renaissance & Baroque Society of Pittsburgh,303 South Craig Street,(412) 682-5253,http://www.rbsp.org/,
,Eat Unique,305 S. Craig St.,(412) 683-9993,http://www.eatuniquecafe.com/,
,Chief's Cafe,307 N. Craig St.,(412) 683-2936,,
,Thrifty Cleaners,310 N. Craig St.,(412) 687-0114,,
,Mark/Anthony Hair Salon,311 S. Craig St.,(412) 682-3670,,278028374563
,Howard Hanna Real Estate,311 S. Craig St.,(412) 687-6000,www.howardhanna.com,
,Thai Palace Restaurant,311 South Craig Street,(412) 622-0133,,
,Craig Beer Distributor,313 North Craig Street,(412) 621-7200,,
,Eye Candy,314 North Craig Street,(412)621-1679,,
,Oakland Cafe,315 N. Craig Street,(412) 683-4300,,
,Pittsburgh Pretzel Sandwich Shop,3153 Forbes Avenue,(412) 235-7807,http://www.pittsburghpretzel.com/,
,Lucca Restaurant,317 S. Craig St.,(412) 682-3310,http://luccaristorante.com/,LuccaRistorante
,Kohli's Indian Imports,319 S. Craig St..,(412) 621-1800,http://www.kohlisindianimports.com/,
,Burma-Tokyo,320 Atwood St,(412) 802-3163,,
,University Motors,3229 Blvd. of the Allies,(412) 687-6556,,
,St. Regis Parish,3235 Parkview Ave.,(412) 681-9365,,
,India Garden,328 Atwood St.,(412) 682-3000,www.indiagarden.com,
,Hampton Inn,3315 Hamlet St.,(412) 681-1000,www.hamptoninn.com,
,Carlow University,3333 Fifth Ave.,(412) 578-6000,http://www.carlow.edu/,
,Allegheny County Health Dept.,3333 Forbes Ave.,(412) 687-ACHD,www.achd.org,
,Job Links,3360 Fifth Avenue,(412) 621-3821,,
,Salem's Halal Meat Grocery,338 S. Bouquet St.,(412) 621-4354,,110939620161
,The Comfort Zone,3400 Fifth Avenue,(412) 688-9311,http://www.comfortzonesalons.com/,
,Best Western,3401 Blvd. Allies,(412) 683-6100,www.bestwestern.com,
,E.S. Management,3401 Forbes Avenue,(412) 325-3904,,
,Flaherty & Co. Opticians,3402 Fifth Ave.,(412) 621-6027,,
,Sciulli's Pizza,3404 Fifth Ave.,(412) 687-9287,,117063121645059
,Board of Public Education,341 S Bellefield Ave.,(412) 622-3770,http://www.pghboe.net/pps/site/default.asp,294241040320
,Panera Bread,3411 Boulevard of the Allies,(412) 683-9616,http://www.panerabread.com/,
,Arby's ,3417 Forbes Ave.,(412) 687-3090,www.arby's.com,
,People's Oakland,3433 Bates Street,(412) 683-7570,,
,Mi Ranchito,344 Atwood St.,(412) 586-7034,,325518643484
,CVS Pharmacy,3440 Forbes Ave.,(412) 687-4180,www.cvs.com,
,Jimmy John's,3444 Forbes Avenue,(412) 681-9010,www.jimmyjohns.com,
,John N. Elachko Funeral Home,3447 Dawson St. ,(412) 682-3257,,
,Merante Groceria,3454 Bates St.,(412) 683-3924,,
,Wyndham Garden Hotel,3454 Forbes Ave.,(412) 683-2040,www.wyndham.com,
,The Garden Cafe at Wyndham Hotel,3454 Forbes Ave.,(412) 683-2040,http://www.wyndham.com/hotels/PITUP/main.wnt,
,Eureka Bank,3455 Forbes Ave.,(412) 681-8400,www.eurekabankcorp.com,
,UPMC Montefiore,3459 Fifth Ave.,(412) 647-2345,www.upmc.edu,
,United States Post Office,347 S. Bouquet St.,(412) 621-9713,www.usps.com,
,Liliane S. Kaufmann Bldg.,3471 Fifth Ave.,(412) 647-2345,www.upmc.edu,
,Hieber's Pharmacy Inc.,3500 Fifth Ave.,(412) 681-6400,http://www.hpharmacy.net/,hieberspharmacy
,Stuckert's Exxon,3500 Forbes Ave.,(412) 621-4115,www.exxon.com,
,Life Uniform,3501 Forbes Ave.,(412) 682-6373,http://www.lifeuniform.com/LifeUniform.jsp,
,"Miller, Werrin & Gruendel",3506 Fifth Avenue,(412) 641-0200,www.dentalpgh.com,
,Say Cheese,3507 Cable Place,(412) 687-0606,,
,Enrico's,3516 Fifth Ave.,(412) 682-3738,,
,Schenley Park Animal Hospital,3518 Blvd. of the Allies,(412) 683-3455,,
,Parkvale Bank,3520 Forbes Ave.,(412) 687-1200,www.parkvale.com,
,Medical Center Opticians,3524 Fifth Ave.,(412) 621-6773,,164341936930309
,Nellie's Sandwiches,3524 Fifth Ave.,(412) 683-7144,,
,Oakland Trans. Mgt. Assoc.,3525 Forbes Ave.,(412) 687-4505,www.otma-pgh.org,
,Fox's Pizza Den,3526 Blvd. of the Allies,(412) 621-3090,,
,Bellisario's Automotive,3529 Blvd. Allies,(412) 687-6750,,
,The Slipped Disc,352Atwood Street,(412) 688 8899,,
,John CR Kelly Realty,3535 Blvd. of the Allies,(412) 683-7300,http://www.jcrkelly.com/,
,Jim's Amoco,3600 Blvd. of the Allies,(412) 687-7799,,
,Quaker Steak and Lube,3600 Forbes Avenue,(412) 381-9464,http://www.quakersteakandlube.com/,
,Falk Clinic,3601 Fifth Ave.,(412) 648-3000,www.upmc.edu,
,Got Used,3601 Forbes Ave.,(412) 687-2780,http://www.gotusedbookstore.com/pitt/,
,Three D's Tobacco Shop,3604 Fifth Avenue,(412) 224-2442,http://pittsburghtobacco.com/,118209851573214
,Selection Boutique,3604 Forbes Ave.,(412) 681-6619,,
,Milano's Pizza,3606 Fifth Avenue,(412) 681-2858,,
,Radio Shack,3606 Forbes Ave.,(412) 681-6550,www.radioshack.com,
,Golden Palace Buffet,3607 Forbes Ave.,(412) 687-2288,,
,AJ's Peruvian Chicken,3608 Fifth Ave.,(412) 687-4666,,328754675500
,EB Games,3608 Forbes Avenue,(412) 421-4410,http://www.ebgames.com/,
,Oakland Oasis Tanning,3609 Forbes Ave.,(412) 683-3010,,100773890978
,IGA Market on Forbes,3609 Forbes Ave.,(412) 621-1212,http://oaklandiga.com/,135390396483173
,Campus Bookstore,3610 Fifth Ave.,(412) 681-9770,http://campusbookstore-pitt.com/,
,SuperCuts,3611 Forbes Ave.,(412) 682-4440,www.supercuts.com,
,Ace Athletic,3612 Forbes Avenue,(412) 578-9711,http://www.aceathleticpa.com/,
,The Exchange,3613 Forbes Ave.,(412) 687-4715,www.myexchangefranchise.com,
,Prince of India,3614 Fifth Ave.,(412) 687-0888,,178982284869
,Sir Speedy Printing ,3614 Forbes Ave.,(412) 687-0500,http://www.sirspeedy.com/centers/pittsburghpa080/,119877944728606
,Gene's Place,3616 Louisa St.,(412) 681-8289,,154137084603875
,Starbucks,3618 Forbes Ave.,(412) 682-3868,www.starbucks.com,
,Caribou Coffee,3619 Forbes Avenue,(412) 687-2617,http://www.cariboucoffee.com/,
,Chipotle,3619 Forbes Avenue,(412) 621-1557,www.chipotle.com,
,The Oakland School,362 McKee Place,(412) 621-7878,http://www.theoaklandschool.org/,
,Oriental Super,366 Atwood Street,(412) 683-2041,,188053227905353
,Mad Mex ,370 Atwood St.,(412) 681-5656,,MadMexAtwood
,First Niagara Bank,3700 Fifth Ave.,(412) 687-7670,www.fnfg.com,
,Rite Aid,3700 Forbes Ave.,(412) 681-1332,http://www.riteaid.com/,
,Pamela's ,3703 Forbes Ave.,(412) 683-4066,http://www.pamelasdiner.com/index.cfm,pamelasdiner
,Subway,3707 Forbes Ave.,(412) 687-7550,www.subway.com,
,McDonald's,3708 Forbes Ave.,(412) 687-3747,,
,Pittsburgh Popcorn Company,3710 Fifth Avenue,(412) 605-0444,http://pghpopcorn.com/,
,Kinko's ,3710 Forbes Ave.,(412) 687-2752,http://fedex.com/us/office/,
,Rita's Italian Ice,3712 Fifth Avenue,(412) 687-9011,http://www.ritasice.com/,
,Qdoba's Mexican Restaurant,3712 Forbes Avenue,(412) 802-7866,http://www.qdoba.com/,
,Oakland Jewelry Exchange,3713 Forbes Ave.,(412) 682-6520,,
,Dollar Bank,3714 Fifth Ave.,(412) 621-3177,www.dollarbank.com,
,Bruegger's Bagel Bakery,3714 Forbes Ave.,(412) 682-6360,www.breugger's.com,
,Vera Cruz,3715 Forbes Ave.,(412) 688-0766,,
,Joe Mama's Italian Deluxe,3716 Forbes Ave.,(412) 621-7282,http://www.joemamas.com/,
,Citizens Bank,3718 Fifth Ave.,(412) 683-1111,www.citizensbank.com,
,Gidas Flowers,3719 Forbes Ave.,(412) 621-1300,https://www.gidasflowers.com/,117969668996
,Samuel Land Co.,372 N. Craig St.,(412) 681-9100,,
,Sestili Nursery,3721 Swinburne St.,(412) 681-1200,http://www.sestilinurseryinc.com/,
,Taiwan Cafe,3725 Forbes Ave.,(412) 682-3396,,
,General Nutrition Center,3725 Forbes Ave.,(412) 682-5008,www.gnc.com,
,Bellisario's Auto Body,3750 Childs St.,(412) 687-9258,,
,Rue 21,3800 Forbes Ave.,(412) 681-1266,www.rue21.com,
,Panera Bread,3800 Forbes Ave.,(412) 683-3727,http://www.panerabread.com/,
,Touch of Gold and Silver,3800 Forbes Ave.,(412) 687-3867,http://www.touchofgoldandsilverjewelrystore.com/,191711817521372
,Gus Miller's News Stand,3801 Forbes Ave.,(412) 683-5244,,
,Primanti Brothers,3803 Forbes Ave.,(412) 621-4444,http://www.primantibros.com/,PrimantiBrothers
,New Light Baptist Church,3803 Frazier St.,(412) 621-0640,,
,New Balance Pittsburgh,3810 Forbes Avenue,(412) 697-1333,http://stores.newbalance.com/pittsburgh/default.aspx?s3=ppc,NewBalancePgh
,Western Psych. Inst. & Clinic,3811 O'Hara,(412) 624-2100,http://www.upmc.com/HospitalsFacilities/Hospitals/wpic/Pages/default.aspx,
,Original Hot Dog Shop,3901 Forbes Ave.,(412) 621-7388,,143319765710644
,Dunkin Donuts,3909 Forbes Avenue,(412) 687-1308,www.dunkindonuts.com,
,Hemingway's Cafe,3911 Forbes Ave.,(412) 621-4100,http://www.hemingways-cafe.com/,43656360946
,Pitt Shop,3939 Forbes Ave.,(412) 648-2606,http://store.thepittshop.com/,
,The UPS Store,3945 Forbes Ave.,(412) 624-0552,http://www.theupsstore.com/Pages/index.aspx,
,7-Eleven,3953 Forbes Ave.,(412) 682-6108,http://www.7-eleven.com/,
,LuLu's Noodle Shop,400 S. Craig St.,(412) 687-7777,,188580067517
,Campus Deli,400 Semple Street,(412) 683-3200,,10978218110
,University Book Center,4000 Fifth Ave.,(412) 648-1455,http://www.pitt.edu/~bookctr/,thebookcenter
,Bellefield Presbyterian Church,4001 Fifth Ave.,(412) 687-3222,http://www.bellefield.org/,15698372465
,Sphinx Cafe,401 Atwood St.,(412) 621-1153,,120300144652011
,PNC Bank,4022 Fifth Ave.,(412) 621-0300,www.pnc.com,
,Concordia Club,4024 O'Hara St.,(412) 621-7000,http://www.concordiaclubpa.com/,
,Bootlegger's,403 Semple St.,(412) 682-3060,,
,Ali Baba,404 S. Craig St.,(412) 682-2829,,
,Mellinger Beer Distributor,404 Semple St.,(412) 682-4396,,Mellingers
,Cimini Hair Design,406 S. Craig St.,(412) 621-4247,,
,Larry & Carol's Pizza,410 Semple St..,(412) 687-1189,http://www.larryncarolspizza.com/,178050436883
,Islamic Center,4100 Bigelow Blvd.,(412) 682-5555,http://www.icp-pgh.org/,
,Top Notch Art Center,411 S. Craig St.,(412) 683-4444,http://www.tnartsupply.com/,
,Star Of India,412 S. Craig St.,(412) 681-5700,,
,Pittsburgh Athletic Association,4125 Fifth Ave.,(412) 621-2400,http://www.paaclub.com/Club/Scripts/Home/home.asp,
,Union Grill,413 S. Craig St.,(412) 681-8620,,107604845966237
,Veracruz Mexican Grocery,413 Semple St.,(412) 621-7405,,
,Korea Garden Restaurant,414 Semple St.,(412)681-6460,,
,Soldiers & Sailors Memorial Hall,4141 Fifth Ave.,(412) 621-4253,http://www.soldiersandsailorshall.org/,SoldiersandSailors
,Subway,415 S. Craig St.,(412) 687-6728,www.subway.com,
,Caliban Book Shop,416 S. Craig St.,(412) 681-9111,www.calibanbooks.com,126412670722686
,Lezzet,416 Semple St.,(412) 681-2021,http://www.thelezzet.com/,
,St. Nicholas Greek Orthodox Cathedral,419 S. Dithridge St.,(412) 682-3866,,
,Kiva Han Cafe,420 S. Craig St.,(412) 687-6355,,82852692424
,20th Century Club,4201 Bigelow Blvd.,(412) 621-2353,http://www.thetwentiethcenturyclub.com/,
,Burgers & Rice Bowl,424 Semple St..,(412) 953-3999,,
,Arnheim & Neely,"425 N. Craig Street, Ste. 100",(412) 391-1900,,
,Carnegie Library of Pittsburgh,4400 Forbes Ave.,(412) 622-3114,http://www.clpgh.org/,CarnegieLibraryOfPittsburgh
,Carnegie Museum of Art,4400 Forbes Ave.,(412) 622-3131,http://web.cmoa.org/,CarnegieMuseumofArt
,Carnegie Music Hall,4400 Forbes Ave.,(412) 622-3131,http://www.carnegiemuseums.org/interior.php?pageID=30,
,Carnegie Museum of Natural History,4400 Forbes Ave.,(412) 622-3131,http://www.carnegiemnh.org/,31539090679
,Pittsburgh Chamber Music Society,4400 Forbes Ave.,(412) 624-4129,http://www.pittsburghchambermusic.org/newSite/,85378651541
,National Development Corp.,4415 Fifth Ave.,(412) 578-7800,,
,Kevin's Deli,4415 Fifth Ave.,(412) 621-6368,http://kevinsdeli.com/index.htm,
,Oakland Community Deli,449 Atwood St.,(412) 687-8555,,
,India Palace Cuisine,4519 Centre Ave.,(412) 687-0515,,
,Aiken's Quality Cuts,4523 Centre Ave.,(412) 681-9949,,
,The Sign Source,4605 Centre Avenue,(412)687-2717,,
,New China Inn,4609 Centre Ave.,(412) 621-6199,,194045876982
,Panther Hollow Inn,4611 Forbes Avenue,(412) 682-9999,,52051703278
,First Niagara Bank,4612 Forbes Ave. ,(412) 681-4200,www.fnfg.com,
,Townsend Booksellers,4612 Henry St.,(412) 682-8030,http://www.townsendbooksellers.com/,
,Center Cleaners,4615 Centre Ave.,(412) 683-6466,,
,Lou's Auto,4619 Centre Ave.,(412) 682-6211,,
,Auto Palace,4627 Baum Blvd.,(412) 687-4000,http://www.auto-palace.com/ou/pittsburgh-porsche/,AutoPalacePorsche
,Mitchell's Tavern/ Charlie's,4632 Centre Ave.,(412) 682-9530,,
,Johnny's Coffee Shop,4635 Centre Ave.,(412) 681-4505,,
,Centre Ave. News,4637 Centre Ave.,(412) 687-6397,,
,United Cerebal Palsy Center,4638 Centre Ave.,(412) 683-7100,http://www.ucp.org/,
,Center for Personal Development,4638 Centre Ave.,(412) 683-7100,,
,A-1 Self Storage,4643 Baum Blvd.,(412) 621-5947,http://www.a1storage.com/,
,Radio Shack,4643 Baum Blvd.,(412) 681-2100,www.radioshack.com,
,Seoul Mart,4701 Fifth Ave.,(412) 683-8767,,
,Salim's Middle Eastern Store & Deli,4705 Centre Ave.,(412) 621-8110,,98788647369
,Dairy Queen,4711 Centre Ave.,(412) 682-0410,http://www.dairyqueen.com/us-en/,
,Central Catholic High School,4720 Fifth Ave.,(412) 621-8189,http://www.centralcatholichs.com/,130802130287924
,Melwood Screening Room,477 Melwood Ave.,(412) 681-5449,http://theaters.pittsburgharts.org/theaters-about,
,Pittsburgh Filmmakers,477 Melwood Ave.,(412) 681-5449,http://pfm.pittsburgharts.org/,pghfilmmakers
,Stuckert's Towing,4801 Centre Avenue,(412) 621-6876,,
,Rodef Shalom Congregation,4905 Fifth Avenue,(412) 621-6566,http://rodefshalom.org/,155098914506223
,Carnegie Mellon University,5000 Forbes Ave.,(412) 268-2000,www.cmu.edu,carnegiemellonu
,First Trinity Evangelical Lutheran,531 N. Neville St.,(412) 683-4121,,
,Wines & Spirits,5430 Centre Ave.,(412) 688-1938,www.pawinesandspirits.com,
,CVS Pharmacy,5430 Centre Ave.,(412) 682-1088,www.cvs.com,
,Pep Boys,936 S. Millvale Avenue,(412) 578-0467,www.pepboys.com,
,H&R Block,Atwood St.,(412) 681-2797,www.hrblock.com,
,Frick Fine Arts Building,Bigelow & Clemente,(412) 648-2410,http://www.tour.pitt.edu/tour-060.html,
,Nationality Classrooms ,Cathedral Of Learning,(412) 624-6000,http://www.pitt.edu/~natrooms/,
,Rangos Research Center,Fifth & McKee,(412) 692-5325,,
,falk Clinic,Fifth at Bigelow,(412) 624-4141,www.pitt.edu,
,St. Paul Cathedral ,Fifth at Craig,(412) 621-4951,,
,PNC Bank,Fifth Ave. at Craig St.,(412) 683-7161,www.pnc.com,
,Stephen Foster Memorial,Forbes & Bigelow,(412) 624-4100,http://www.tour.pitt.edu/tour-235.html,
,Magee Womens Hospital,Forbes at Halket,(412) 641-1000,www.magee.edu,
,Razzy Fresh,Forbes at Meyran,412-586-7924,http://www.razzyfresh.com/,117733734917057
,Phipps Conservatory & Botanical Gardens,One Schenley Drive,(412) 622-6914,http://phipps.conservatory.org/,phippsconservatory
,Heinz Memorial Chapel,Univ. of Pittsburgh,(412) 624-4157,http://www.heinzchapel.pitt.edu/,
,VA Pgh. Healthcare System,University Dr.,(412) 688-6000,http://www.pittsburgh.va.gov/,
,University of Pittsburgh Cancer Institutute,,(412) 624-1115,www.upmc.edu,
,3 Guys Optical Center,3701 Forbes Ave,(412) 682 1499,http://3guysoptical.com/,161961833858809
